Время валидации|Кол-во итераций|Кол-во значений в маске
0.56163716316223|10000|5
0.55616688728333|10000|5
0.55095553398132|10000|5
0.5789589881897|10000|5
0.58357667922974|10000|5
0.56121182441711|10000|5
